iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"126,492,385,434.10"
Shares Outstanding,"500,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MON","MONSANTO","Equity","0.24","119.82","2,578,128.00","308,911,296.96","308,911,296.96","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.24","85.78","3,587,464.00","307,732,661.92","307,732,661.92","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.24","43.74","6,994,050.00","305,919,747.00","305,919,747.00","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.23","287.72","1,024,286.00","294,707,567.92","294,707,567.92","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.23","161.01","1,829,445.00","294,558,939.45","294,558,939.45","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.23","189.88","1,540,988.00","292,602,801.44","292,602,801.44","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.23","54.26","5,359,669.00","290,815,639.94","290,815,639.94","Industrials","2160753","US1264081035","NASDAQ"
"D","DOMINION ENERGY INC","Equity","0.23","76.93","3,770,960.00","290,099,952.80","290,099,952.80","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.23","49.14","5,865,273.00","288,219,515.22","288,219,515.22","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.23","64.21","4,486,852.00","288,100,766.92","288,100,766.92","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.23","64.51","4,430,134.00","285,787,944.34","285,787,944.34","Information Technology","2575818","US00507V1098","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.22","109.32","2,607,778.00","285,082,290.96","285,082,290.96","Information Technology","2065308","US0530151036","NASDAQ"
"CI","CIGNA CORP","Equity","0.22","186.94","1,477,514.00","276,206,467.16","276,206,467.16","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.22","73.73","3,733,898.00","275,300,299.54","275,300,299.54","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.22","11.97","22,952,005.00","274,735,499.85","274,735,499.85","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.21","77.55","3,503,078.00","271,663,698.90","271,663,698.90","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"CME","CME GROUP INC CLASS A","Equity","0.21","135.68","1,994,591.00","270,626,106.88","270,626,106.88","Financials","2965839","US12572Q1058","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.21","147.96","1,817,315.00","268,889,927.40","268,889,927.40","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.21","142.02","1,887,819.00","268,108,054.38","268,108,054.38","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.21","106.32","2,505,407.00","266,374,872.24","266,374,872.24","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.21","195.95","1,335,432.00","261,677,900.40","261,677,900.40","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.20","39.33","6,533,543.00","256,964,246.19","256,964,246.19","Information Technology","2588184","US5951121038","NASDAQ"
"MMC","MARSH & MCLENNAN INC","Equity","0.20","83.81","3,006,209.00","251,950,376.29","251,950,376.29","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.20","72.54","3,465,095.00","251,357,991.30","251,357,991.30","Information Technology","2257019","US1924461023","NASDAQ"
"KMB","KIMBERLY CLARK CORP","Equity","0.19","117.68","2,071,927.00","243,824,369.36","243,824,369.36","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.19","84.66","2,838,504.00","240,307,748.64","240,307,748.64","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.19","99.98","2,382,949.00","238,247,241.02","238,247,241.02","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.19","68.70","3,450,799.00","237,069,891.30","237,069,891.30","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.19","156.31","1,512,862.00","236,475,459.22","236,475,459.22","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.19","62.84","3,754,074.00","235,906,010.16","235,906,010.16","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.19","125.59","1,875,698.00","235,568,911.82","235,568,911.82","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.19","29.17","8,052,143.00","234,881,011.31","234,881,011.31","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.18","139.74","1,678,712.00","234,583,214.88","234,583,214.88","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.18","46.03","5,095,079.00","234,526,486.37","234,526,486.37","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.18","91.61","2,519,662.00","230,826,235.82","230,826,235.82","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.18","1,045.88","218,631.00","228,661,790.28","228,661,790.28","Health Care","2871301","US46120E6023","NASDAQ"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.18","152.04","1,478,262.00","224,754,954.48","224,754,954.48","Health Care","2931034","US92532F1003","NASDAQ"
"EBAY","EBAY INC","Equity","0.18","38.46","5,836,534.00","224,473,097.64","224,473,097.64","Information Technology","2293819","US2786421030","NASDAQ"
"NSC","NORFOLK SOUTHERN CORP","Equity","0.18","132.24","1,689,674.00","223,442,489.76","223,442,489.76","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.18","46.94","4,744,452.00","222,704,576.88","222,704,576.88","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.17","40.29","5,466,393.00","220,240,973.97","220,240,973.97","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.17","146.10","1,491,220.00","217,867,242.00","217,867,242.00","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.17","19.18","11,266,695.00","216,095,210.10","216,095,210.10","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.17","63.32","3,385,437.00","214,365,870.84","214,365,870.84","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"EA","ELECTRONIC ARTS INC","Equity","0.17","118.06","1,812,939.00","214,035,578.34","214,035,578.34","Information Technology","2310194","US2855121099","NASDAQ"
"EXC","EXELON CORP","Equity","0.17","37.67","5,627,033.00","211,970,333.11","211,970,333.11","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.16","95.54","2,191,624.00","209,387,756.96","209,387,756.96","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.16","243.63","848,118.00","206,626,988.34","206,626,988.34","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.16","68.09","3,005,630.00","204,653,346.70","204,653,346.70","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
