iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"133,414,175,708.62"
Shares Outstanding,"515,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.22","155.33","1,878,949.00","291,857,148.17","291,857,148.17","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.22","12.27","23,574,069.00","289,253,826.63","289,253,826.63","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.21","208.67","1,371,608.00","286,213,441.36","286,213,441.36","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.21","110.46","2,573,407.00","284,258,537.22","284,258,537.22","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.21","137.17","2,048,719.00","281,022,785.23","281,022,785.23","Financials","2965839","US12572Q1058","NASDAQ"
"KHC","KRAFT HEINZ","Equity","0.21","77.33","3,598,006.00","278,233,803.98","278,233,803.98","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"CSX","CSX CORP","Equity","0.21","50.43","5,504,917.00","277,612,964.31","277,612,964.31","Industrials","2160753","US1264081035","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.20","1.00","273,002,204.00","273,002,203.60","273,002,203.60","Cash and/or Derivatives","-","US0669224778","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.20","75.67","3,558,935.00","269,304,611.45","269,304,611.45","Information Technology","2257019","US1924461023","NASDAQ"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.20","92.18","2,915,480.00","268,748,946.40","268,748,946.40","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.20","69.80","3,835,082.00","267,688,723.60","267,688,723.60","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
