iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"124,393,508,123.36"
Shares Outstanding,"499,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.33","81.50","5,009,208.00","408,250,452.00","408,250,452.00","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.33","117.49","3,455,637.00","406,002,791.13","406,002,791.13","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.32","61.68","6,552,547.00","404,161,098.96","404,161,098.96","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"COST","COSTCO WHOLESALE CORP","Equity","0.32","156.74","2,572,796.00","403,260,045.04","403,260,045.04","Consumer Staples","2701271","US22160K1051","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.32","316.56","1,252,970.00","396,640,183.20","396,640,183.20","Health Care","2455965","US09062X1037","NASDAQ"
"CB","CHUBB LTD","Equity","0.31","141.42","2,738,935.00","387,340,187.70","387,340,187.70","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.31","45.50","8,354,246.00","380,118,193.00","380,118,193.00","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.30","86.10","4,403,885.00","379,174,498.50","379,174,498.50","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.30","95.49","3,922,183.00","374,529,254.67","374,529,254.67","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.30","73.89","5,034,443.00","371,994,993.27","371,994,993.27","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.30","71.64","5,182,686.00","371,287,625.04","371,287,625.04","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.30","148.05","2,492,395.00","368,999,079.75","368,999,079.75","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.29","40.66","8,900,974.00","361,913,602.84","361,913,602.84","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.29","87.30","4,106,807.00","358,524,251.10","358,524,251.10","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
