iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"101,821,854,272.44"
Shares Outstanding,"429,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMB","KIMBERLY CLARK CORP","Equity","0.23","131.63","1,786,875.00","235,206,356.25","235,206,356.25","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"BLK","BLACKROCK INC.","Equity","0.23","383.51","609,621.00","233,795,749.71","233,795,749.71","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.23","102.39","2,251,257.00","230,506,204.23","230,506,204.23","Information Technology","2065308","US0530151036","NASDAQ"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.23","106.68","2,154,373.00","229,828,511.64","229,828,511.64","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.22","11.64","19,552,545.00","227,591,623.80","227,591,623.80","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.22","127.55","1,759,870.00","224,471,418.50","224,471,418.50","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.22","152.50","1,467,442.00","223,784,905.00","223,784,905.00","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.22","165.38","1,327,635.00","219,564,276.30","219,564,276.30","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.21","46.55","4,639,224.00","215,955,877.20","215,955,877.20","Industrials","2160753","US1264081035","NASDAQ"
"HAL","HALLIBURTON","Equity","0.21","49.21","4,341,298.00","213,635,274.58","213,635,274.58","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.21","38.90","5,410,356.00","210,462,848.40","210,462,848.40","Information Technology","2046552","US0382221051","NASDAQ"
"KMI","KINDER MORGAN INC","Equity","0.21","21.74","9,619,398.00","209,125,712.52","209,125,712.52","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.20","237.84","876,991.00","208,583,539.44","208,583,539.44","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
